Date,RP,RN,HI,MO,BP,MA,WH,OI,SB,TI,WA,KA,OO,TK,KH,TA,WO,WI,KO,MP,RA,AB,Lake Level,Equipment,Origin,Comment
25/05/1979,357.346,357.074,358.139,NA,NA,357.808,NA,NA,358.083,NA,NA,NA,NA,NA,358.609,NA,NA,NA,NA,NA,NA,NA,356.900,NZGS/GNS GT1,RP,
16/11/1979,357.346,357.075,358.139,NA,NA,357.808,NA,NA,358.083,NA,NA,NA,NA,NA,358.610,NA,NA,NA,NA,NA,NA,NA,357.100,NZGS/GNS GT1,RP,
01/03/1980,357.346,357.076,358.142,NA,NA,357.811,NA,NA,358.091,NA,NA,NA,NA,NA,358.608,NA,NA,NA,NA,NA,NA,NA,356.800,NZGS/GNS GT1,RP,
27/05/1980,357.346,357.076,358.143,NA,NA,357.812,NA,NA,358.088,NA,NA,NA,NA,NA,358.604,NA,NA,NA,NA,NA,NA,NA,357.000,NZGS/GNS GT1,RP,
07/10/1980,357.346,357.078,358.143,NA,NA,357.809,NA,NA,358.093,NA,NA,NA,NA,NA,358.607,NA,NA,NA,NA,NA,NA,NA,357.000,NZGS/GNS GT1,RP,
14/03/1981,357.346,357.076,358.134,NA,NA,357.804,NA,NA,358.087,NA,NA,NA,NA,NA,358.596,NA,NA,NA,NA,NA,NA,NA,356.600,NZGS/GNS GT1,RP,
20/07/1981,357.346,357.079,358.144,NA,NA,357.814,NA,NA,358.087,NA,NA,NA,NA,NA,358.607,NA,NA,NA,NA,NA,NA,NA,356.500,NZGS/GNS GT1,RP,
30/10/1981,357.346,357.076,358.144,NA,NA,357.807,NA,NA,358.089,NA,NA,NA,NA,NA,358.606,NA,NA,NA,NA,NA,NA,NA,356.000,NZGS/GNS GT1,RP,
04/05/1982,357.346,357.067,358.135,NA,NA,357.804,NA,NA,358.091,NA,NA,NA,NA,NA,358.600,NA,NA,NA,NA,NA,357.603,NA,356.000,NZGS/GNS GT1,RP,
14/08/1982,357.346,357.078,358.132,NA,NA,357.804,NA,NA,358.096,NA,NA,NA,NA,NA,358.597,NA,NA,NA,NA,NA,357.603,NA,356.100,NZGS/GNS GT1,RP,
22/10/1982,357.346,357.073,358.132,NA,NA,357.807,NA,NA,358.093,NA,NA,NA,NA,NA,358.594,NA,NA,NA,NA,NA,357.611,NA,356.100,NZGS/GNS GT1,RP,
26/01/1983,357.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357.609,NA,356.200,NZGS/GNS GT1,RP,
16/03/1983,357.346,357.075,358.135,NA,NA,357.802,NA,NA,358.104,NA,NA,NA,NA,NA,358.628,NA,NA,NA,NA,NA,357.620,NA,356.000,NZGS/GNS GT1,RP,
31/03/1983,357.346,357.071,NA,NA,NA,357.800,NA,NA,358.097,NA,NA,NA,NA,NA,358.625,NA,NA,NA,NA,NA,357.624,NA,355.900,NZGS/GNS GT1,RP,
01/05/1983,357.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358.635,NA,359.836,NA,NA,NA,357.624,NA,NA,NZGS/GNS GT1,RP,
27/05/1983,357.346,NA,358.135,NA,NA,NA,NA,NA,358.097,NA,357.745,357.618,NA,NA,358.636,NA,NA,NA,NA,NA,NA,NA,NA,NZGS/GNS GT1,WA,Origin Change
13/06/1983,357.349,357.079,NA,NA,358.050,357.796,NA,359.107,NA,NA,357.745,NA,NA,NA,358.641,357.449,359.838,NA,NA,NA,357.632,NA,NA,NZGS/GNS GT1,WA,WA derived. See README.
20/06/1983,357.350,NA,NA,NA,NA,NA,NA,NA,NA,NA,357.745,NA,NA,NA,358.609,NA,359.822,NA,NA,NA,357.638,NA,NA,NZGS/GNS GT1,WA,WA derived. See README.
21/06/1983,357.350,NA,NA,NA,NA,NA,NA,NA,NA,NA,357.745,NA,NA,NA,358.601,NA,359.816,NA,NA,NA,357.644,NA,NA,NZGS/GNS GT1,WA,WA derived. See README.
27/06/1983,357.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,357.745,NA,NA,NA,358.600,NA,359.815,NA,NA,NA,357.645,NA,NA,NZGS/GNS GT1,WA,WA derived. See README.
29/06/1983,357.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,357.745,NA,NA,NA,NA,NA,359.809,NA,NA,NA,357.646,NA,NA,NZGS/GNS GT1,WA,WA derived. See README.
01/07/1983,357.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,357.745,NA,NA,NA,358.592,357.409,NA,NA,NA,NA,357.647,NA,NA,NZGS/GNS GT1,WA,WA derived. See README.
19/07/1983,357.355,357.084,358.153,NA,358.057,357.803,NA,359.112,358.103,NA,357.745,357.617,NA,NA,358.590,357.412,359.813,NA,NA,NA,357.652,358.593,356.300,NZGS/GNS GT1,WA,
06/09/1983,357.356,357.087,358.154,NA,NA,357.795,NA,NA,NA,NA,357.745,NA,NA,NA,358.591,NA,359.813,NA,NA,NA,357.658,358.598,356.30,NZGS/GNS GT1,WA,WA derived. See README.
