Acacia Bay,AB,176.027604531,-38.7081769673
Bulli Point,BP,175.958538482,-38.886879354
Horomatangi,HI,175.996271373,-38.8129247167
Kawakawa,KA,175.81912044,-38.6807308825
Kinloch,KH,175.921572713,-38.6632868402
Kaiapo,KO,175.976009824,-38.7115885092
Motuoapa,MA,175.874797252,-38.9315773413
Motutaiko,MO,175.943852732,-38.8558085341
Mine Point,MP,175.979121787,-38.7243532357
Omori,OI,175.762487952,-38.9002105343
Omoho,OO,175.853465328,-38.6606420484
Rangatira,RA,176.010605527,-38.736008151
Rotongaio,RN,176.073977533,-38.7948922703
Scenic Bay,SB,175.81099532,-38.8194227789
Te Itarata,TA,175.916776277,-38.7046986938
Tangingatahi,TI,175.78571152,-38.7783103715
Te Kauwae,TK,175.87439643,-38.678601988
Waihaha,WA,175.743966088,-38.7282181573
Waihi,WH,175.745287962,-38.9508362533
Waikarariki,WI,175.961572465,-38.7108395366
Whakaipo,WO,175.963024087,-38.6862807812
Rainbow Point,RP,176.081898,-38.714821
